-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90
0.00042538,0.008779,0.0,0.001077,0.0042311,0.0,0.0058421,0.0,0.0058783,0.0,0.0,0.0,0.00049325,0.0052629,0.0077654,0.0051181,0.0017422,0.0
0.0035207,0.0,0.0,0.0,0.0011358,0.0,0.0011992,0.0,0.007426,0.0,0.0,0.0,0.0,0.0052629,0.0031224,0.0051181,0.0032899,0.0
0.00042538,0.0,0.0040546,0.0,0.0042311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037152,0.0015748,0.0066657,0.0063852,0.0
0.0,0.0056837,0.0,0.0,0.0026835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037152,0.0077654,0.0066657,0.00019459,0.0
0.00042538,0.0041361,0.0040546,0.0,0.0,0.0,0.0,0.0,0.0012354,0.0,0.0,0.0011313,0.0,0.0021676,0.0046701,0.0082134,0.0,0.0
0.00042538,0.0025885,0.00095936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042266,0.0,0.0021676,0.0,0.009761,0.0048375,0.0
0.0035207,0.0,0.0,0.0,0.0026835,0.0035207,0.0,0.0023531,0.0,0.0,0.0,0.0,0.00049325,0.0068105,0.0031224,0.00047515,0.0017422,0.0
0.0050683,0.0025885,0.0,0.0,0.0026835,0.0066159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052629,0.0015748,0.0020228,0.0032899,0.0
0.0035207,0.0041361,0.00095936,0.0,0.0011358,0.001973,0.0,0.0008055,0.0,0.0,0.0,0.0,0.0,0.0021676,0.0062177,0.00047515,0.0,0.0030862
0.001973,0.0025885,0.00095936,0.0026247,0.0,0.0,0.0,0.0008055,0.0012354,0.0,0.0,0.0,0.0,0.0083582,0.0046701,0.0051181,0.0,0.0
0.039116,0.0025885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.032926,0.008779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0041361,0.028817,0.05834,0.090899,0.1134,0.15132,0.17878,0.21481,0.2317,0.26431,0.27971,0.30693,0.32872,0.35598,0.38893,0.41342,0.44726
0.0,0.0025885,0.031912,0.05834,0.084709,0.12424,0.14823,0.17105,0.22255,0.23789,0.25966,0.26578,0.29455,0.31943,0.36527,0.43227,0.49854,0.56333
0.0,0.0072314,0.027269,0.044411,0.053756,0.073165,0.08632,0.12152,0.14362,0.14813,0.13431,0.12649,0.14597,0.18788,0.23836,0.31,0.37937,0.46583
0.0,0.0025885,0.016436,0.035125,0.038279,0.056141,0.064653,0.090569,0.097189,0.1017,0.0724,0.042918,0.080971,0.14146,0.22444,0.30846,0.3933,0.50607
0.0,0.0,0.011793,0.024292,0.041375,0.045307,0.061557,0.073545,0.07707,0.072296,0.033709,0.022798,0.087161,0.1786,0.2786,0.40131,0.50473,0.65155
0.0,0.0,0.010245,0.024292,0.035184,0.051498,0.050724,0.059616,0.072427,0.055272,0.013589,0.036727,0.13823,0.26991,0.39003,0.54215,0.69509,0.83727
0.0,0.0,0.0040546,0.025839,0.038279,0.051498,0.041438,0.062711,0.063141,0.042891,0.016685,0.073871,0.22026,0.39372,0.54789,0.70465,0.90092,1.0555
0.0,0.0,0.0040546,0.030482,0.036732,0.036021,0.047628,0.056521,0.060046,0.035152,0.044542,0.15125,0.31157,0.51753,0.71968,0.88727,1.1021,1.2613
0.0,0.0,0.00095936,0.027387,0.033636,0.039116,0.041438,0.058068,0.064689,0.049081,0.094067,0.23947,0.43229,0.64289,0.89302,1.0653,1.277,1.4563
0.0,0.0,0.011793,0.019649,0.032089,0.042212,0.038343,0.056521,0.073975,0.0692,0.13895,0.32768,0.53598,0.77908,1.0416,1.2216,1.4318,1.5894
0.0,0.0025885,0.0086976,0.021196,0.030541,0.031378,0.030604,0.056521,0.070879,0.1048,0.20085,0.43138,0.65205,0.91063,1.17,1.3655,1.5571,1.6854
0.0,0.0010408,0.0040546,0.019649,0.025898,0.034474,0.038343,0.051878,0.070879,0.14349,0.25966,0.52578,0.74491,1.0019,1.2939,1.4847,1.6902,1.7999
0.0,0.0,0.0071499,0.016553,0.021255,0.036021,0.035247,0.053425,0.078618,0.17444,0.3324,0.60471,0.83932,1.1118,1.4084,1.5961,1.7676,1.8757
0.0,0.0,0.022626,0.010363,0.015065,0.029831,0.036795,0.051878,0.097189,0.20539,0.40824,0.67281,0.93682,1.2016,1.4981,1.6766,1.845,1.9454
0.0,0.0,0.011793,0.016553,0.019708,0.026735,0.032152,0.051878,0.11576,0.22551,0.47633,0.76721,1.0049,1.296,1.5724,1.7447,1.91,1.9949
0.0,0.0010408,0.00095936,0.018101,0.02435,0.036021,0.038343,0.061164,0.12659,0.25956,0.52895,0.8446,1.0916,1.361,1.6359,1.7803,1.9549,2.032
0.0,0.0,0.0086976,0.011911,0.011969,0.029831,0.038343,0.059616,0.14362,0.29361,0.59705,0.90805,1.1535,1.4229,1.6854,1.8406,1.9812,2.0738
0.0,0.0,0.0071499,0.0057199,0.011969,0.022092,0.042986,0.061164,0.16838,0.33694,0.64658,0.95603,1.2169,1.4631,1.7241,1.8886,2.0137,2.1063
0.0,0.0,0.017983,0.018101,0.019708,0.025188,0.032152,0.065806,0.17767,0.38647,0.68527,1.0056,1.2819,1.5034,1.7442,1.9521,2.0601,2.1079
0.0,0.010327,0.016436,0.016553,0.019708,0.034474,0.032152,0.062711,0.18695,0.40813,0.7317,1.0427,1.3268,1.5606,1.7984,1.9768,2.0802,2.1125
0.0,0.0072314,0.0056023,0.019649,0.011969,0.029831,0.029057,0.064259,0.21326,0.42671,0.77812,1.0876,1.3624,1.5993,1.8201,2.0016,2.0895,2.1342
0.0,0.0,0.0086976,0.015006,0.019708,0.031378,0.0337,0.07664,0.221,0.47778,0.81682,1.1448,1.3965,1.6272,1.8324,2.014,2.105,2.1373
0.0,0.0,0.017983,0.016553,0.016612,0.029831,0.0337,0.084378,0.23338,0.51492,0.86015,1.1882,1.4212,1.6643,1.8665,2.0093,2.1158,2.1605
0.0,0.0072314,0.0040546,0.011911,0.015065,0.036021,0.038343,0.087473,0.25814,0.53659,0.88801,1.2129,1.4491,1.6798,1.8851,2.0434,2.1267,2.1605
0.00042538,0.0072314,0.010245,0.016553,0.022803,0.028283,0.038343,0.095212,0.27826,0.5598,0.91432,1.2222,1.4723,1.7092,1.899,2.0712,2.1344,2.1605
0.0,0.0056837,0.017983,0.0088152,0.019708,0.031378,0.03989,0.095212,0.29529,0.59695,0.92979,1.2656,1.5063,1.7231,1.9021,2.0774,2.139,2.1729
0.00042538,0.0041361,0.0086976,0.015006,0.010422,0.028283,0.03989,0.10605,0.30612,0.61088,0.96229,1.281,1.5342,1.7495,1.9176,2.0759,2.1344,2.1961
0.0035207,0.0041361,0.0086976,0.019649,0.016612,0.022092,0.038343,0.11224,0.31695,0.64183,0.96848,1.295,1.5605,1.7665,1.9423,2.0774,2.1328,2.1915
0.0035207,0.0056837,0.0086976,0.018101,0.02435,0.025188,0.047628,0.11224,0.34945,0.65111,0.99325,1.3151,1.5806,1.7758,1.9562,2.0851,2.1592,2.2023
0.0,0.008779,0.0056023,0.019649,0.01816,0.029831,0.042986,0.11997,0.37267,0.67433,1.0319,1.3445,1.5977,1.7804,1.9655,2.1037,2.1684,2.2085
0.0,0.010327,0.0,0.011911,0.016612,0.037569,0.03989,0.12771,0.3866,0.69135,1.0443,1.3569,1.6023,1.7943,1.9857,2.1006,2.1715,2.2178
0.0,0.010327,0.016436,0.018101,0.015065,0.032926,0.042986,0.12926,0.39743,0.71612,1.0691,1.3739,1.6162,1.8083,1.981,2.1161,2.1746,2.2317
0.0,0.013422,0.010245,0.018101,0.019708,0.029831,0.041438,0.13236,0.41291,0.74088,1.0784,1.3878,1.6209,1.8098,1.9918,2.1192,2.187,2.2286
0.0,0.013422,0.0056023,0.015006,0.02435,0.037569,0.042986,0.13855,0.43767,0.76409,1.0737,1.4002,1.6472,1.8237,1.9965,2.1285,2.1901,2.2255
0.001973,0.0041361,0.011793,0.0088152,0.015065,0.042212,0.041438,0.14009,0.46398,0.77957,1.0938,1.4002,1.6627,1.8176,2.0011,2.144,2.1715,2.2332
0.0,0.013422,0.00095936,0.011911,0.010422,0.02364,0.047628,0.16176,0.47946,0.79659,1.1078,1.4157,1.6611,1.816,2.0058,2.1455,2.1963,2.241
0.0,0.010327,0.0071499,0.019649,0.011969,0.02364,0.049176,0.1695,0.47327,0.80588,1.114,1.4281,1.6673,1.8176,1.998,2.1347,2.204,2.2317
0.0,0.0072314,0.010245,0.016553,0.015065,0.02364,0.050724,0.17569,0.47946,0.82755,1.131,1.4219,1.6719,1.8145,1.9934,2.1316,2.204,2.2379
0.0,0.0072314,0.014888,0.019649,0.022803,0.031378,0.052271,0.18188,0.47636,0.83374,1.1325,1.4342,1.6797,1.8284,1.998,2.1223,2.2009,2.2301
0.0,0.0056837,0.0056023,0.0072676,0.027446,0.026735,0.03989,0.19426,0.49184,0.85695,1.1511,1.4497,1.6673,1.8408,1.998,2.1177,2.2164,2.224
0.0,0.008779,0.0056023,0.0057199,0.021255,0.032926,0.042986,0.19117,0.49648,0.87397,1.1527,1.4528,1.6704,1.8562,1.9996,2.13,2.2009,2.2255
0.0,0.0056837,0.0040546,0.016553,0.022803,0.025188,0.052271,0.20045,0.50267,0.87552,1.1681,1.4606,1.6719,1.8392,1.9949,2.1331,2.2056,2.241
