[0.00399560201 30.9276646 0.25653392 54.9674877 0.0419047917 0.0130000157 5.85718661 4.17836848],[0.00436899843 32.4914638 0.279370162 47.2554426 0.104102178 0.0197844665 37.5883084 4.47984883],[0.00255908599 25.6887037 0.383575397 21.5597497 0.217051869 0.031582232 64.6236679 2.43760838],[0.00302622167 15.2461451 0.0923067194 15.5044153 0.0408765696 0.019711537 15.3317567 1.67868311],[0.00295695545 31.3601932 0.742377824 42.6467912 0.0234970051 0.0144266196 6.08186622 3.1547323]
[0.00399560201 31.645213060000003 0.31069027160000007 58.93295773999999 0.04225056608 0.0130000157 4.4468639340000005 4.232307218],[0.00436899843 32.38579572 0.3423104184 60.17161912 0.10493619000000001 0.01982174854 37.31896415999999 4.4607868680000005],[0.00255908599 25.20089328 0.45430913320000005 21.225757480000002 0.2292253562 0.031582232 65.26854726 2.4014449039999994],[0.002979842942 14.9276267 0.09914886810000001 15.458286860000001 0.0378766371 0.01906519772 15.280104599999998 1.6308371139999998],[0.00295695545 31.075261660000002 0.4027282088 57.494240420000004 0.02386077462 0.01414195116 6.731847732 3.158947454]
[0.004066012786 30.56876744 0.6104504096000001 59.52028216 0.07188710026 0.012353426859999999 41.289729128 4.261927682],[0.004335853906 31.43176236 0.3460607478 43.40411578 0.11933850233999999 0.01971663244 32.5858296586 4.2904090539999995],[0.0025916610920000004 25.970567260000003 0.2839830498 22.437579460000002 0.14704336138000001 0.0321758329 35.6128313342 2.481212652],[0.002620510986 20.02049346 0.21276720738000005 19.01973312 0.1265660738 0.02437618192 42.1777597 1.564604664],[0.0029075473759999997 31.643294259999998 0.567325089 52.604005140000005 0.046109974580000004 0.014351404679999999 35.231928298 3.1388918079999995]
[0.0040633072511999995 30.868958436 0.559532880788 61.81802814 0.073254398868 0.012379578284000001 41.6467782612 4.272190888],[0.004335844831200001 31.668587592000005 0.44539765272 42.044745968 0.11271838798400001 0.019737809444000002 30.894241755960007 4.314631683999999],[0.0025916610920000004 25.928280616 0.30705790272 22.350188704 0.14134718432 0.032157936080000005 34.96990356124001 2.4797155639999997],[0.0026112352404000006 20.278556367999997 0.21683146387600008 19.210777452 0.141084602872 0.024457488891999994 43.98104622799999 1.5693096048000001],[0.0029075473759999997 31.560556319999996 0.5123788184800001 59.872476648 0.04637504699199999 0.014384882848000002 36.5986781412 3.1333267779999994]
[0.004023535999 32.04420624 0.6275484347 62.50970891000001 0.09627598598 0.01323072592 55.470643264 4.333671732],[0.004357818376 32.158141019999995 0.46509259170000006 47.91364917 0.10875698830999998 0.019852805490000004 31.322353729299998 4.394515374999999],[0.002630269135 25.67778259 0.2943116588 22.33064412 0.15894359718 0.03096213008 42.371172710100005 2.5199397550000002],[0.0026452783760000003 17.520244642 0.19278308427000002 16.508286494 0.19273332602 0.025542602399999996 48.568248270000005 1.5054334649999999],[0.0029259477129999997 32.06459342 0.5455467485000001 59.58646913 0.04013219605 0.014886307459999998 28.980919869 3.2000633069999997]
[0.004025713449000001 32.21778081999999 0.562251101754 63.116627788 0.09622727159799999 0.013252433927999997 55.110634645400005 4.3454641478000005],[0.0043590401324 32.327295920000005 0.5071973983500001 48.94631818399999 0.10620445589399999 0.019915068709999997 30.552338665980013 4.4161961388],[0.0026302691350000014 25.572305654000004 0.30278708484 22.267081386000005 0.16393427760600002 0.03095839382600001 42.66014284421999 2.510849938000001],[0.0026455112324 17.7704223416 0.1908135979420001 16.6812183253 0.20309883168600001 0.025575899856000003 50.30722496200002 1.5215052233999997],[0.0029273655848 31.951038846000007 0.4950495368200001 63.56763872600001 0.039689976682 0.014768198334000004 29.042401610400006 3.1899426552000008]
