-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90
0.0,0.0,0.0018825,0.0,0.0,0.0,0.007788,0.0,0.002593,0.002774,0.0,0.0080278,0.0,0.0039641,0.0014933,0.0025477,0.0,0.0
0.0,0.0,0.0,0.00046158,0.0,0.0,0.0062403,0.0,0.0087836,0.0012263,0.0009141,0.00028962,0.0,0.0024165,0.0,0.0071907,0.0,0.0
0.0022717,0.0,0.00033487,0.00046158,0.0,0.0,0.0,0.0,0.0072359,0.0,0.0,0.0,0.0,0.0,0.0,0.005643,0.0038691,0.0057426
0.0069146,0.0,0.0,0.0,0.00042085,0.0014119,0.0,0.0,0.010331,0.0012263,0.014843,0.0,0.0,0.0,0.0,0.0010001,0.0023215,0.0026473
0.0069146,0.0,0.0065254,0.0,0.0,0.0,0.0,0.0,0.0056883,0.002774,0.0086523,0.0049325,0.0,0.0,0.0,0.0040954,0.0,0.010385
0.0,0.0,0.0049778,0.0,0.00042085,0.0014119,4.9778e-05,0.0,0.002593,0.0074169,0.0,0.0018373,0.0013259,0.0,0.0,0.014929,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0029595,0.0,0.0010544,0.0072359,0.002774,0.0009141,0.0033849,0.0,0.0,0.0,0.0071907,0.0,0.0
0.00072404,0.011775,0.0049778,0.0,0.0,0.0,0.0,0.0,0.0087836,0.0,0.0102,0.00028962,0.0028735,0.0,0.0014933,0.0040954,0.00077382,0.0
0.005367,0.0024889,0.0034302,0.0035569,0.0,0.0,0.0,0.0,0.0,0.0,0.0009141,0.0,0.0,0.0,0.0045886,0.010286,0.0,0.0
0.0,0.0040365,0.0,0.0,0.0,0.0,0.0031451,0.0010544,0.0,0.0,0.0086523,0.0,0.0,0.0,0.0,0.0071907,0.0,0.0026473
0.005367,0.0055842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.027034,0.0055842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
