0.001,0.0074169,0.0094216,0.0030908,-0.0051633,0.0046972,-0.00020364,0.0015884,0.0081953,-0.0017784,-0.0095212,0.0046791,0.0013485,-0.0053534,-0.010716,0.0094261,0.0029957,0.0039008,-0.0080957
0.0011,0.002774,-0.0014119,-0.0015522,0.0025749,-0.0014933,0.0044393,4.0727e-05,0.0081953,0.0044121,-0.011069,0.0077744,0.0028962,-0.0022581,0.0016653,0.010974,-0.0016472,0.0039008,-0.0003575
0.0012,-0.00032129,-0.0045072,0.0030908,0.0025749,-0.0014933,-0.00020364,0.0015884,0.0035523,0.0059598,-0.0079735,0.0046791,0.0044438,0.0039325,0.0078559,0.0032356,-0.0047425,0.0085437,-0.0065481
0.0013,-0.0034166,-0.0029595,0.0015431,0.0041225,-0.0045886,-0.00020364,0.003136,0.0051,0.0059598,-0.020355,0.012417,0.0013485,-0.0022581,0.0078559,0.0078785,-9.9556e-05,0.0023531,-0.0080957
0.0014,-0.0034166,-0.0014119,0.0030908,0.0072178,0.0031496,-0.0032989,4.0727e-05,0.0020047,0.0075074,-0.014164,0.0046791,0.0028962,0.00083718,0.0047606,0.0063309,0.006091,-0.0069327,-0.0034528
0.0015,-0.00032129,0.00013576,0.0015431,-0.002068,0.0016019,-0.00020364,4.0727e-05,-0.0010906,0.0028645,-0.0095212,0.0093221,0.0028962,0.0070277,0.0078559,0.00014028,-9.9556e-05,0.0023531,0.0058331
0.0016,0.002774,0.0047787,-4.5253e-06,-0.0051633,0.010888,0.0059869,0.0046837,0.0081953,0.0013169,-0.017259,3.6202e-05,0.0028962,0.010123,0.0094035,0.00014028,-0.0031948,0.010091,-0.0080957
0.0017,0.0058693,0.00013576,-4.5253e-06,0.0056702,0.0062449,0.0059869,0.0046837,-0.0010906,0.0028645,-0.018807,-0.0030591,-0.0032944,0.014766,0.00011766,0.0063309,0.0029957,0.010091,-0.017382
0.0018,-0.00032129,0.00013576,-0.0015522,-0.0051633,0.0077925,0.01063,0.0062313,0.0081953,0.0044121,-0.0064259,-0.0092497,0.0028962,0.0085754,0.00011766,0.0063309,-0.0016472,0.0023531,-0.011191
0.0019,0.0012263,0.0016834,-0.0046475,-0.0051633,0.0031496,0.0028916,0.0062313,0.012838,0.0028645,-0.001783,-0.0092497,-0.00019911,-0.0038058,-0.0029776,0.0063309,-0.0016472,-0.00074214,-0.0096434
0.002,0.0058693,-0.0014119,-0.0015522,-0.0051633,0.0016019,0.0044393,0.012422,0.0097429,0.0013169,-0.0079735,0.0015838,-0.00019911,-0.0038058,0.0063082,0.0016879,-0.0016472,0.0039008,-0.0065481
