0,1,2
0,-70,0.0
1,-70,1.7636159416378118e-06
2,-70,2.0114430120670933e-05
3,-70,7.334438948834789e-05
4,-70,0.00016869079583088108
5,-70,0.00030278066700975634
6,-70,0.00046624710785381777
7,-70,0.0006478285599770917
8,-70,0.0008369414960140055
9,-70,0.0010249198074497882
10,-70,0.0012053705017441218
11,-70,0.0013740397311479287
12,-70,0.0015284598141553168
13,-70,0.0016675383535165584
14,-70,0.0017911732234799898
15,-70,0.0018999290726499202
16,-70,0.001994783956851674
17,-70,0.0020769412310850583
18,-70,0.0021476963232147776
19,-70,0.0022083468209667333
20,-70,0.0022601351985492442
21,-70,0.002304215223088164
22,-70,0.0023416349477935303
23,-70,0.0023733309048643634
24,-70,0.0024001295383394607
25,-70,0.0024227530475804757
26,-70,0.002441827674082468
27,-70,0.0024578931027324138
28,-70,0.0024714121101378317
29,-70,0.002482779919006981
30,-70,0.0024923329433969906
31,-70,0.00250035676229631
32,-70,0.0025070932593622545
33,-70,0.002512746930268227
34,-70,0.002517490397416641
35,-70,0.0025214691929352335
36,-70,0.0025248058807023086
37,-70,0.0025276035906981933
38,-70,0.002529949037049397
39,-70,0.002531915086611584
40,-70,0.0025335629390851122
41,-70,0.0025349439732881714
42,-70,0.0025361013078385813
43,-70,0.002537071118421151
44,-70,0.002537883748209974
45,-70,0.0025385646429514734
46,-70,0.0025391351377139076
47,-70,0.0025396131183575226
48,-70,0.002540013577341144
49,-70,0.002540349080510712
50,-70,0.0025406301589634642
51,-70,0.002540865637899448
52,-70,0.0025410629125127153
53,-70,0.0025412281793950183
54,-70,0.0025413666305862267
55,-70,0.0025414826162733794
56,-70,0.002541579781184217
57,-70,0.0025416611789147296
58,-70,0.0025417293677510505
59,-70,0.002541786490974443
60,-70,0.00254183434415739
61,-70,0.002541874431554883
62,-70,0.0025419080133556125
63,-70,0.0025419361452729103
64,-70,0.002541959711716173
65,-70,0.002541979453582846
66,-70,0.002541995991542829
67,-70,0.0025420098455459657
68,-70,0.0025420214511650053
69,-70,0.0025420311732871873
70,-70,0.002542039317584456
71,-70,0.0025420461401226215
72,-70,0.0025420518554113447
73,-70,0.0025420566431479004
74,-70,0.002542060653866639
75,-70,0.0025420640136716755
76,-70,0.0025420668282015984
77,-70,0.0025420691859507614
78,-70,0.0025420711610516064
79,-70,0.002542072815605451
80,-70,0.0025420742016350273
81,-70,0.0025420753627201443
82,-70,0.002542076335367909
83,-70,0.002542077150160563
84,-70,0.0025420778327170514
85,-70,0.0025420784044985216
86,-70,0.0025420788834831123
87,-70,0.002542079284731219
88,-70,0.002542079620859027
89,-70,0.002542079902435184
90,-70,0.0025420801383131152
91,-70,0.0025420803359093823
92,-70,0.002542080501436882
93,-70,0.0025420806401001946
94,-70,0.002542080756259229
95,-70,0.0025420808535662996
96,-70,0.0025420809350809757
97,-70,0.002542081003366274
98,-70,0.00254208106056925
99,-70,0.0025420811084885015
0,-60,0.0
1,-60,2.0050633514777553e-05
2,-60,0.00022143963053812118
3,-60,0.0007835726260171568
4,-60,0.0017526436357685046
5,-60,0.0030656560110211553
6,-60,0.00460978131077855
7,-60,0.006266671369245002
8,-60,0.007935827760755609
9,-60,0.009542793911358441
10,-60,0.011038778573064881
11,-60,0.012396444232823585
12,-60,0.013604641016288785
13,-60,0.014663474666188947
14,-60,0.015580258080522312
15,-60,0.0163664501292208
16,-60,0.017035481145810525
17,-60,0.017601293591918525
18,-60,0.018077421711361997
19,-60,0.018476457367425016
20,-60,0.01880978079191499
21,-60,0.019087465342059875
22,-60,0.019318290938223185
23,-60,0.01950982085781101
24,-60,0.019668511461762343
25,-60,0.01979983514007707
26,-60,0.019908404238546867
27,-60,0.019998088810446193
28,-60,0.020072124400131303
29,-60,0.02013320822558049
30,-60,0.020183583462923503
31,-60,0.020225112119409017
32,-60,0.020259337402335074
33,-60,0.02028753668116711
34,-60,0.020310766186954283
35,-60,0.020329898556070907
36,-60,0.0203456542425968
37,-60,0.020358627719700362
38,-60,0.02036930928024355
39,-60,0.020378103139357714
40,-60,0.02038534244180722
41,-60,0.020391301686883807
42,-60,0.020396207004113844
43,-60,0.020400244644037217
44,-60,0.02040356798904633
45,-60,0.02040630333881983
46,-60,0.020408554682226188
47,-60,0.020410407631691774
48,-60,0.020411932665976306
49,-60,0.020413187802210887
50,-60,0.020414220797166198
51,-60,0.020415070960365857
52,-60,0.02041577064726762
53,-60,0.02041634648881596
54,-60,0.020416820403809426
55,-60,0.020417210432377302
56,-60,0.020417531422129747
57,-60,0.020417795592991766
58,-60,0.020418013002149012
59,-60,0.020418191926755945
60,-60,0.020418339178942174
61,-60,0.020418460365087165
