-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90
0.0,0.0048375,0.0,0.0,0.0,0.0,0.0,0.0058919,0.0,0.0081274,0.0016472,0.0091184,0.0070277,0.0019142,0.0057154,0.0066205,0.0,0.0
0.011865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0077835,0.0075165,0.018916,0.025237,0.038569,0.044583,0.06029,0.068485,0.065101,0.069476,0.087505,0.11954,0.16203,0.22484,0.2916,0.41777
0.0,0.0,0.0093311,0.0028735,0.025106,0.034523,0.033926,0.043035,0.051004,0.070033,0.11617,0.22579,0.40941,0.83764,1.2949,1.8947,2.7353,3.5177
0.0,0.0,0.0077835,0.013707,0.014273,0.022142,0.033926,0.044583,0.072671,0.17837,0.43808,0.89592,1.5996,2.4983,3.491,4.6109,5.7053,6.9039
0.0,0.0017422,0.0077835,0.010612,0.029749,0.02988,0.029283,0.044583,0.12684,0.41671,0.96119,1.8075,2.8036,3.967,5.0665,6.2916,7.4278,8.5646
0.0,0.0,0.012426,0.0044212,0.018916,0.025237,0.035474,0.067798,0.2491,0.72469,1.5183,2.5596,3.7043,4.894,6.0771,7.3007,8.3935,9.5458
0.0,0.0,0.0093311,0.0059688,0.031297,0.028333,0.040117,0.09875,0.40077,1.0621,2.0229,3.1276,4.3373,5.5007,6.707,7.9166,9.0126,10.117
0.0,0.0,0.015522,0.012159,0.022011,0.02988,0.030831,0.1328,0.54315,1.3762,2.416,3.5888,4.7753,5.9464,7.1342,8.3267,9.449,10.595
0.0,0.0063852,0.0062358,0.019898,0.018916,0.022142,0.037021,0.17304,0.67935,1.6409,2.7286,3.9107,5.1158,6.2776,7.4483,8.6518,9.7539,10.915
0.0,0.011028,0.0031405,0.010612,0.020463,0.028333,0.040117,0.21637,0.83102,1.856,2.9747,4.1444,5.3619,6.5453,7.713,8.8839,9.9984,11.134
0.0,0.0,0.0031405,0.01835,0.025106,0.028333,0.038569,0.26899,0.96721,2.0495,3.1851,4.3487,5.5662,6.7388,7.9296,9.0897,10.19,11.355
0.0,0.0,0.0077835,0.019898,0.011177,0.020595,0.055593,0.32316,1.0817,2.2182,3.3446,4.5313,5.7426,6.9245,8.0504,9.26,10.328,11.517
0.0,0.00019459,0.012426,0.016802,0.020463,0.019047,0.061784,0.3634,1.1963,2.3373,3.4869,4.6938,5.8803,7.0344,8.1819,9.4024,10.466,11.651
0.0,0.0,0.013974,0.010612,0.020463,0.028333,0.061784,0.41292,1.303,2.4395,3.6015,4.8099,5.9887,7.1768,8.3305,9.5138,10.602,11.751
0.0,0.0,0.0031405,0.0028735,0.018916,0.02988,0.064879,0.45471,1.399,2.5401,3.6912,4.9043,6.0939,7.2789,8.4249,9.6005,10.717,11.827
0.0,0.0,0.017069,0.013707,0.018916,0.028333,0.071069,0.49649,1.4671,2.6082,3.7949,4.9848,6.1666,7.3563,8.5193,9.6763,10.8,11.928
0.0,0.0032899,0.0031405,0.012159,0.017368,0.034523,0.075712,0.54138,1.529,2.6825,3.8754,5.0591,6.2332,7.4523,8.6153,9.7645,10.873,12.028
0.0,0.0,0.012426,0.0090641,0.022011,0.034523,0.083451,0.57078,1.6002,2.7475,3.9311,5.1365,6.3199,7.5219,8.6617,9.8403,10.938,12.082
0.0,0.0,0.0062358,0.012159,0.020463,0.032976,0.094284,0.60173,1.625,2.8001,4.0039,5.1999,6.3818,7.5544,8.7313,9.893,11.011,12.169
0.0,0.0017422,0.0062358,0.0013259,0.022011,0.031428,0.092736,0.63114,1.6698,2.8542,4.0534,5.2525,6.4282,7.6333,8.7824,9.9456,11.102,12.2
0.0010318,0.0,0.0077835,0.010612,0.022011,0.032976,0.10667,0.659,1.7116,2.9146,4.1014,5.3098,6.4715,7.6798,8.8211,9.992,11.097,12.265
0.0,0.0,0.0046882,0.0090641,0.014273,0.034523,0.11131,0.68531,1.7488,2.9533,4.1431,5.333,6.5381,7.7216,8.8737,10.012,11.153,12.302
