CostFunc,BatchSize,MaxIt,NPop,Beta,PC,Mu,Sigma,BestSol1,BestSol2,BestSol3,BestSol4,BestSol5,AllCost,AvgCost,dist_to_known_params
l2_loss,1024,1000,70,0,2,0.2,[0.2 4.  0.2 4.  0.2 0.2 4.  0.2],"[8.52546218e-03 6.98309652e+01 4.00165538e-01 6.38056720e+01
 1.98993252e-01 1.69709315e-02 6.95911800e+01 4.00000000e+00]","[8.52546218e-03 6.98297250e+01 3.99806207e-01 6.43394845e+01
 1.98993242e-01 1.69710363e-02 6.95921627e+01 4.00000000e+00]","[8.52546218e-03 6.98304278e+01 3.45533540e-01 6.45379035e+01
 1.98993251e-01 1.69710111e-02 6.95922242e+01 4.00000000e+00]","[8.52546218e-03 6.98424103e+01 3.28212230e-01 6.46189163e+01
 1.98993261e-01 1.69710526e-02 6.94489367e+01 4.00000000e+00]","[8.52546218e-03 6.98308385e+01 3.46621663e-01 6.45223512e+01
 1.98993251e-01 1.69710171e-02 6.95858286e+01 4.00000000e+00]","[5.2262315293620336e-05, 5.239700048371838e-05, 5.2487475995004535e-05, 5.2750181156042466e-05, 5.3020474479791764e-05]",5.25834894816355e-05,22.012517161698952
l2_loss,512,1000,70,0,2,0.8,[0.2 4.  0.2 4.  0.2 0.2 4.  0.2],"[9.29050483e-03 6.65553836e+01 1.00000000e+00 5.90672492e+01
 1.40186598e-01 1.47183764e-02 5.33455524e+01 4.00000000e+00]","[9.28954066e-03 6.54612082e+01 3.70381421e-01 5.78633009e+01
 1.35954359e-01 1.47195864e-02 5.33073438e+01 4.00000000e+00]","[9.28951252e-03 6.57349485e+01 3.70358735e-01 5.78771431e+01
 1.35955052e-01 1.47200557e-02 5.32504190e+01 4.00000000e+00]","[9.29050623e-03 6.65454481e+01 1.00000000e+00 5.90647050e+01
 1.33749215e-01 1.47183786e-02 5.05516712e+01 4.00000000e+00]","[8.96155380e-03 6.65254615e+01 9.99995739e-01 6.27038471e+01
 1.40186876e-01 1.47189103e-02 5.52481578e+01 4.00000000e+00]","[4.126259702562404e-05, 4.243782121719463e-05, 4.3920988062439795e-05, 4.5512730760906763e-05, 4.713181801516153e-05]",4.405319101626535e-05,22.299449228156785
l1_loss,512,1000,70,0,2,0.4,[0.3 6.  0.3 6.  0.3 0.3 6.  0.3],"[3.50701359e-02 6.96275227e+01 9.51817757e-01 6.25082359e+01
 7.24081858e-01 1.55151291e-02 6.77000914e+01 4.00000000e+00]","[3.50701159e-02 6.94697408e+01 8.90013148e-01 6.18550032e+01
 7.24011129e-01 1.55151308e-02 6.76440778e+01 4.00000000e+00]","[3.50721734e-02 6.80757474e+01 1.00000000e+00 7.58075698e+01
 7.60207882e-01 1.55149625e-02 7.38449298e+01 4.00000000e+00]","[3.50701359e-02 6.96196812e+01 9.51919974e-01 6.25360525e+01
 7.24075476e-01 1.55151291e-02 6.77072070e+01 4.00000000e+00]","[3.50700735e-02 6.89361448e+01 9.51924872e-01 6.83375937e+01
 7.24070086e-01 1.55151290e-02 6.77167765e+01 4.00000000e+00]","[0.007233100313236622, 0.007311503712390672, 0.007525183555881014, 0.007596448589518759, 0.007606219774393916]",0.0074544911890841,22.39238727414352
l1_loss,1024,1000,70,10,2,0.4,[0.2 4.  0.2 4.  0.2 0.2 4.  0.2],"[1.29742967e-02 4.35103172e+01 8.79520868e-02 4.34938338e+01
 1.11111822e-01 8.92129157e-03 7.44047305e+01 4.00000000e+00]","[1.29738302e-02 4.35103658e+01 8.79527265e-02 4.34923383e+01
 1.11111822e-01 8.92129157e-03 7.44491122e+01 4.00000000e+00]","[1.29738303e-02 4.35103657e+01 8.79527291e-02 4.34975041e+01
 1.11111822e-01 8.92129157e-03 7.44544376e+01 4.00000000e+00]","[1.29742971e-02 4.34997381e+01 8.79520885e-02 4.34938070e+01
 1.11111822e-01 8.92129157e-03 7.44060934e+01 4.00000000e+00]","[1.29738306e-02 4.35103660e+01 8.79527287e-02 4.35017242e+01
 1.11111822e-01 8.92129157e-03 7.44540306e+01 4.00000000e+00]","[0.0034014817899463584, 0.0035093092476246, 0.0035975622523922264, 0.0036456111895726514, 0.0036458343496860455]",0.0035599597658443,23.206469553115713
l1_loss,1024,1000,70,10,1,0.4,[0.3 6.  0.3 6.  0.3 0.3 6.  0.3],"[7.64368192e-03 7.09771126e+01 7.33409704e-01 6.27667708e+01
 1.90664223e-01 1.68437004e-02 7.24492904e+01 4.00000000e+00]","[7.64368192e-03 7.10289084e+01 1.00000000e+00 6.19741276e+01
 1.90663582e-01 1.68437004e-02 7.26959724e+01 4.00000000e+00]","[7.64368192e-03 7.08439705e+01 5.54625442e-01 6.32931204e+01
 1.90663582e-01 1.68437004e-02 7.26969768e+01 4.00000000e+00]","[7.64368192e-03 7.10116523e+01 9.99934108e-01 7.01612452e+01
 1.90664266e-01 1.68437013e-02 7.27115044e+01 4.00000000e+00]","[7.64368192e-03 7.10296549e+01 7.57145964e-01 6.24441693e+01
 1.90664223e-01 1.68437004e-02 7.28951853e+01 4.00000000e+00]","[0.005274009150759329, 0.005317604888801032, 0.005339477123449109, 0.005357789114134884, 0.005367257275633221]",0.0053312275105555,24.376413548671337
l1_loss,512,1000,70,1,1,0.4,[0.2 4.  0.2 4.  0.2 0.2 4.  0.2],"[8.23416364e-03 7.05561146e+01 5.26173449e-01 6.32318449e+01
 1.50738231e-01 1.66766169e-02 5.53899604e+01 4.00000000e+00]","[8.23416365e-03 7.06181272e+01 5.26237784e-01 6.32659413e+01
 1.50737011e-01 1.66765561e-02 5.53687659e+01 4.00000000e+00]","[8.23416135e-03 7.05660319e+01 5.03147630e-01 6.32508226e+01
 1.50738481e-01 1.66763738e-02 5.51363070e+01 4.00000000e+00]","[8.23416868e-03 7.05543272e+01 5.26412248e-01 6.32547035e+01
 1.50737133e-01 1.66766190e-02 5.52821165e+01 4.00000000e+00]","[8.23416868e-03 7.05543015e+01 4.72763430e-01 6.32547089e+01
 1.50737132e-01 1.66766190e-02 5.51710472e+01 4.00000000e+00]","[0.004522506224194953, 0.004546961691902222, 0.004560200470885914, 0.004569200772211447, 0.004572958513214608]",0.0045543655344818,24.90009993636822
l1_loss,1024,1000,70,10,1,0.2,[0.3 6.  0.3 6.  0.3 0.3 6.  0.3],"[-1.48969742e-02  4.72181070e+01 -8.69856517e-03  4.62309463e+01
  1.00000000e+00  3.79252615e-02  4.85915620e+01  4.00000000e+00]","[-1.48969737e-02  4.72181104e+01 -8.69856517e-03  4.62309664e+01
  9.99995286e-01  3.79239508e-02  4.76461200e+01  4.00000000e+00]","[-1.48959574e-02  4.72181963e+01 -8.69856521e-03  4.62334209e+01
  9.99999999e-01  3.72291213e-02  4.86666114e+01  4.00000000e+00]","[-1.48962484e-02  4.72181990e+01 -8.69856521e-03  4.62334144e+01
  9.99999996e-01  3.72289606e-02  4.84178623e+01  4.00000000e+00]","[-1.48959712e-02  4.72177894e+01 -8.69856502e-03  4.62333845e+01
  9.99999999e-01  3.72291210e-02  4.86704019e+01  4.00000000e+00]","[0.02640223378761524, 0.0265669476089772, 0.026659198513488164, 0.026665671192017033, 0.026681673648299594]",0.0265951449500794,26.865845340219813
l2_loss,1024,1000,70,0,1,0.8,[0.1 2.  0.1 2.  0.1 0.1 2.  0.1],"[8.28004106e-03 7.18300670e+01 4.93640376e-01 6.64493974e+01
 1.66948436e-01 1.75080227e-02 5.75536673e+01 4.00000000e+00]","[8.28079181e-03 7.31848004e+01 7.35930520e-01 6.70770887e+01
 1.79199529e-01 1.79522612e-02 5.83870711e+01 4.00000000e+00]","[8.28018073e-03 7.18454547e+01 6.83837235e-01 6.60474247e+01
 1.66952170e-01 1.75085017e-02 5.73591676e+01 4.00000000e+00]","[8.28018012e-03 7.24004587e+01 7.41196002e-01 6.60389850e+01
 1.75678357e-01 1.75089059e-02 5.90061908e+01 4.00000000e+00]","[7.86922221e-03 7.41814272e+01 8.59522178e-01 6.26520931e+01
 1.73576354e-01 1.81036994e-02 5.73236792e+01 4.00000000e+00]","[8.807778622169767e-05, 8.841170162775667e-05, 8.957947671569202e-05, 9.011596059709664e-05, 9.546080616556352e-05]",9.03291462655613e-05,27.367394850949577
l1_loss,1024,1000,70,1,1,0.4,[0.3 6.  0.3 6.  0.3 0.3 6.  0.3],"[6.88193530e-03 6.85592671e+01 3.07656348e-01 6.43153540e+01
 1.68929864e-01 1.54817890e-02 8.07238744e+01 4.00000000e+00]","[6.88193101e-03 6.85649730e+01 3.62182844e-01 6.41044643e+01
 1.68929878e-01 1.54817891e-02 8.07346463e+01 4.00000000e+00]","[6.88193020e-03 6.85691565e+01 3.07639525e-01 6.46928377e+01
 1.68928437e-01 1.54817892e-02 8.07217179e+01 4.00000000e+00]","[6.88193101e-03 6.85243512e+01 3.62176773e-01 6.41030496e+01
 1.68929878e-01 1.54817891e-02 8.07345931e+01 4.00000000e+00]","[6.88193530e-03 6.85592683e+01 3.07671623e-01 6.43163635e+01
 1.68929864e-01 1.54817890e-02 8.07247217e+01 4.00000000e+00]","[0.004559938255648585, 0.004595271014028796, 0.004605424322367136, 0.004624900156687826, 0.004650093085200938]",0.0046071253667866,28.037063963833663
l1_loss,1024,1000,70,1,1,0.4,[0.1 2.  0.1 2.  0.1 0.1 2.  0.1],"[8.13311904e-02 4.17705537e+01 8.50445668e-02 4.17866963e+01
 5.60915233e-01 9.23262381e-03 5.23778131e+01 4.00000000e+00]","[8.13301259e-02 4.17116915e+01 8.51008219e-02 4.17275589e+01
 5.69911782e-01 9.23195671e-03 5.54634732e+01 4.00000000e+00]","[8.13470626e-02 4.17361668e+01 8.62132235e-02 4.16884491e+01
 5.67260075e-01 9.23203326e-03 5.27046728e+01 4.00000000e+00]","[8.13329030e-02 4.17120624e+01 8.51027240e-02 4.16866390e+01
 5.80634143e-01 9.23195629e-03 5.51053381e+01 4.00000000e+00]","[8.53846524e-02 4.17464330e+01 8.33680610e-02 4.17246137e+01
 5.95812717e-01 9.23333562e-03 5.26376731e+01 4.00000000e+00]","[0.00923127044300401, 0.009347706751287675, 0.009434253820873137, 0.009700843927047197, 0.00983084426638731]",0.0095089838417198,29.24758907050296
