0,1,2
0,-20,-0.0162094226842706
1,-20,-0.0145720562529672
2,-20,0.0682250490529779
3,-20,0.0557865260419401
4,-20,0.0331489258557621
5,-20,0.0466091211882509
6,-20,0.0288607001300673
7,-20,0.0366832291836356
8,-20,0.0376854938331416
9,-20,0.0277057235081006
10,-20,0.0346029102859044
11,-20,0.0305829490559991
12,-20,0.0296103561292822
13,-20,0.028885007885409
14,-20,0.02969141989221
15,-20,0.0324976653930141
16,-20,0.0307118967961784
17,-20,0.0357774688365813
18,-20,0.0326202796706613
19,-20,0.0274885389431777
20,-20,0.0268605846877996
21,-20,0.0269364238130811
22,-20,0.0323645391880133
23,-20,0.0287775173141913
24,-20,0.0292926413286281
25,-20,0.033933818954121
26,-20,0.0294273180407653
27,-20,0.0296638126434072
28,-20,0.0282800801108158
29,-20,0.0296183073487787
30,-20,0.0329366942086382
31,-20,0.0285918072812497
32,-20,0.0314192468269468
33,-20,0.0324616718078178
34,-20,0.0303270837433798
35,-20,0.0325296229069609
36,-20,0.0311210438777489
37,-20,0.0318959658580196
38,-20,0.0281069291105372
39,-20,0.0250643500700697
40,-20,0.0331034032182934
41,-20,0.0309694059342743
42,-20,0.0249548954608168
43,-20,0.0285399169298205
44,-20,0.0296040348766495
45,-20,0.0284617134924084
46,-20,0.0300225042306243
47,-20,0.0338166678441916
48,-20,0.0372169272220114
49,-20,0.0370303690471476
50,-20,0.0344270014223875
51,-20,0.0335457087808089
52,-20,0.0357880878628088
53,-20,0.0316803998676911
54,-20,0.0273363694590281
55,-20,0.0334337296682637
56,-20,0.0324140296252823
57,-20,0.0256514408360143
58,-20,0.0269111939386426
59,-20,0.0276006775376327
60,-20,0.0292955621428888
61,-20,0.0319140291579747
62,-20,0.0300449667523504
63,-20,0.0303132387991421
64,-20,0.0291835573925421
65,-20,0.0259534872463573
66,-20,0.0287394287932097
67,-20,0.0336812488388799
68,-20,0.0339356599047935
69,-20,0.0308574789123282
70,-20,0.0308255384483176
71,-20,0.0316833706190423
72,-20,0.0304157528118097
73,-20,0.0317706465707698
74,-20,0.03152257698186
75,-20,0.0301637879944466
76,-20,0.0321762455095227
77,-20,0.0285203188507082
78,-20,0.0257455886832478
79,-20,0.0336448440578817
80,-20,0.0353877275325944
81,-20,0.0287740571996244
82,-20,0.0268272768409646
83,-20,0.0257130055378888
84,-20,0.0261594742704279
85,-20,0.0276394863668764
86,-20,0.0255807023587733
87,-20,0.0300519431411577
88,-20,0.0342345075347461
89,-20,0.0294850983662435
90,-20,0.0302435331113936
91,-20,0.03379244162381
92,-20,0.0322484039729642
93,-20,0.0307690247406983
94,-20,0.030095022386607
95,-20,0.031634210436552
96,-20,0.0336891221846337
97,-20,0.036303660309678
98,-20,0.0385314662260245
99,-20,0.0310284560648524
0,-10,-0.0179577218467004
1,-10,-0.014309196607051
2,-10,0.0725676310725812
3,-10,0.0599344529094947
4,-10,0.0338161962547955
5,-10,0.050100918282078
6,-10,0.0360886930434974
7,-10,0.0489376515176627
8,-10,0.054265957342529
9,-10,0.0429659797374918
10,-10,0.0526118451540517
11,-10,0.0468816125761628
12,-10,0.0443209366716125
13,-10,0.0489083502674703
14,-10,0.0465954993998973
15,-10,0.0505468978510775
16,-10,0.0514312939426285
17,-10,0.0528127439255438
18,-10,0.0510146897861238
19,-10,0.0446757477466748
20,-10,0.0503273915850014
21,-10,0.0551148249328023
22,-10,0.0500729194581132
23,-10,0.0485467857779711
24,-10,0.0513745360330134
25,-10,0.0499287132048649
26,-10,0.0490296300247216
27,-10,0.052430592931672
28,-10,0.0521782188169579
29,-10,0.0504352436058462
30,-10,0.049109163881662
31,-10,0.0499524470075861
32,-10,0.0537483844637657
33,-10,0.0507257964870831
34,-10,0.0498530106303507
35,-10,0.0509795786761907
36,-10,0.0431463516762456
37,-10,0.045606728197904
38,-10,0.0533394435546557
39,-10,0.0489881760770068
40,-10,0.0487242693189964
41,-10,0.0521162479768434
42,-10,0.0497655959760254
43,-10,0.0478560504072965
44,-10,0.0475832964483745
45,-10,0.0476311563030342
46,-10,0.0481822768338093
47,-10,0.0508139040974364
48,-10,0.0510531179835497
49,-10,0.0490340414428926
50,-10,0.0547466753384842
51,-10,0.0574506499003879
52,-10,0.0516564259201309
