-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90
0.0055389,0.0050774,0.006625,0.0,0.0003756,0.00045705,0.0,0.0,0.0,0.0028192,0.0,0.0,0.0032763,0.0,0.0,0.012693,0.0,0.0022626
0.0039913,0.0,0.00043443,0.0,0.0,0.0035523,0.0054892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031224,0.0,0.00071499
0.000896,0.0,0.0081726,0.0,0.0019232,0.0066476,0.00084623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031224,0.0057064,0.0
0.000896,0.0050774,0.006625,0.0,0.0,0.011291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048782,0.0,0.0057064,0.0038103
0.0,0.0097203,0.0,0.0,0.0,0.0081953,0.0039415,0.0,0.0030817,0.0,0.0,0.0,0.0,0.0,0.0,0.0034075,0.0010634,0.0022626
0.0,0.0081726,0.0019821,0.0,0.0,0.0066476,0.0,0.0016653,0.0030817,0.0,0.0,0.0,0.0,0.0,0.0,0.0018599,0.0041587,0.0
0.010182,0.0050774,0.0081726,0.0,0.0,0.0035523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033306,0.0018599,0.0,0.0022626
0.0070866,0.006625,0.0035297,0.0,0.0,0.0051,0.00084623,0.0,0.0,0.0028192,0.0,0.0,0.0,0.0,0.0,0.0,0.0057064,0.0
0.000896,0.0081726,0.00043443,0.0,0.0,0.0035523,0.0,0.0,0.0015341,0.0,0.0,0.0,0.0,0.0,0.001783,0.0,0.0010634,0.0
0.0,0.0,0.0019821,0.0,0.0,0.0051,0.00084623,0.0,0.0,0.0,0.0043986,0.0,0.0,0.0,0.0,0.0034075,0.0010634,0.0053579
0.038039,0.0019821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.019468,0.006625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.012816,0.025197,0.045945,0.07621,0.10879,0.14013,0.15488,0.19035,0.22104,0.2319,0.25837,0.29423,0.32715,0.37476,0.44913,0.51798,0.59501
0.0,0.006625,0.017458,0.033564,0.054543,0.06391,0.090609,0.10536,0.13463,0.14365,0.15297,0.16551,0.21376,0.27298,0.36238,0.49401,0.64488,0.80239
0.0,0.011268,0.017458,0.027373,0.048353,0.056172,0.073585,0.08369,0.10213,0.1127,0.12666,0.18563,0.28959,0.44786,0.65025,0.90104,1.1912,1.4323
0.0,0.0081726,0.014363,0.02273,0.046805,0.046886,0.067395,0.071309,0.097488,0.10187,0.17154,0.31873,0.53721,0.80691,1.13,1.4644,1.8087,2.0792
0.0,0.0035297,0.014363,0.01654,0.039067,0.049982,0.072038,0.055833,0.097488,0.1158,0.25357,0.49516,0.83591,1.2016,1.5711,1.9117,2.2622,2.4924
0.0,0.0,0.011268,0.0088017,0.039067,0.048434,0.058109,0.062023,0.097488,0.15604,0.34798,0.66695,1.1331,1.5575,1.9116,2.2134,2.5547,2.7199
0.0,0.0,0.0097203,0.0088017,0.039067,0.046886,0.053466,0.063571,0.10677,0.19473,0.45941,0.88671,1.39,1.802,2.1468,2.4332,2.6847,2.8484
0.0,0.0035297,0.014363,0.011897,0.04371,0.039148,0.058109,0.063571,0.1238,0.24425,0.58476,1.0786,1.5741,1.9707,2.2938,2.5555,2.7621,2.8886
0.0,0.0097203,0.017458,0.010349,0.032876,0.042243,0.062752,0.058928,0.12535,0.29687,0.69929,1.2133,1.7212,2.0992,2.3821,2.6004,2.8023,2.8933
0.0,0.0081726,0.006625,0.010349,0.037519,0.045339,0.056561,0.066666,0.14546,0.35104,0.80917,1.3309,1.8357,2.1766,2.4115,2.6205,2.824,2.9025
0.0,0.0019821,0.006625,0.019635,0.034424,0.046886,0.048823,0.068214,0.15011,0.41449,0.92525,1.447,1.9069,2.2199,2.4517,2.6189,2.8332,2.9273
0.0,0.0035297,0.012816,0.0041587,0.039067,0.051529,0.045728,0.052738,0.16094,0.4733,0.99489,1.5553,1.9487,2.2447,2.478,2.6174,2.841,2.918
0.0,0.0050774,0.019006,0.010349,0.028233,0.046886,0.058109,0.054285,0.17023,0.52902,1.0645,1.6203,1.9703,2.2555,2.4796,2.605,2.8487,2.8917
0.0,0.0,0.015911,0.011897,0.028233,0.045339,0.055014,0.055833,0.19344,0.58009,1.1357,1.6512,2.0044,2.2694,2.4796,2.605,2.8348,2.8778
0.0,0.0,0.017458,0.013445,0.035971,0.0376,0.047276,0.063571,0.20118,0.61569,1.193,1.7008,2.0415,2.305,2.4935,2.6143,2.8209,2.9087
0.0,0.0081726,0.0097203,0.010349,0.032876,0.048434,0.045728,0.071309,0.21511,0.64819,1.258,1.7364,2.0601,2.3066,2.5105,2.6236,2.8209,2.918
0.0,0.0081726,0.011268,0.011897,0.026686,0.049982,0.047276,0.0775,0.23368,0.68378,1.292,1.7704,2.0725,2.3004,2.4966,2.6236,2.8038,2.8902
0.0,0.0081726,0.017458,0.018088,0.028233,0.043791,0.050371,0.079047,0.24916,0.73176,1.3276,1.7983,2.0864,2.2927,2.4888,2.6189,2.776,2.8685
